Deerhunter, Back to the Middle
Shriekback, Nemesis
The Rolling Stones, Angry
Ice Cube, Smoke Some Weed
The Replacements, Alex Chilton
Pixies, Chicken
TRex, 20
Shandy's Addiction, Calling Dr Love
Alice In Chains, Junkhead (demo)
Isabella Rosellini, Blue Velvet (Blue Velvet Sdtrk).
Roy Orbison, In Dreams (Blue Velvet Sdtrk)
Angelo Baadlamenti, Audrey's Theme (Twin Peaks Sdtrk)
Angelo Baadlamenti, The Pink Room (Twin Peaks Fire Walk With Me Sdtrk)
Julee Cruise, Questions In A World Of Blue (Twin Peaks Fire Walk With Me Sdtrk)
Chris Isaak, Wicked Game (Wild At Heart Sdtrk)
Powermad, Slaughterhouse
Lou Reed, This Magic Moment (Lost Highway Sdtrk)
Nine Inch Nails, The Perfect Drug (Lost Highway Sdtrk)
