Sebadoh, Flame
The Flaming Lips, Lovely Rita (featuring Tegan and Sara &amp; Stardeath and White Dwarfs)
The Dining Rooms, Pure and Easy
Love and Rockets, Delicious Ocean
Blur, Country House
Handsome Furs, Passport Kontrol
Daryl Hall &amp; John Oates, I Can't Go For That (No Can Do)
The Doobie Brothers, Takin' It To the Streets
Steely Dan, Hey Nineteen
Doves, Sky Starts Falling
Manic Street Preachers, If You Tolerate This Your Children Will Be Next
The Soundtrack of Our Lives, Karmageddon
Franz Ferdinand, Lucid Dreams
Sparks, The Number One Song In Heaven
FFS, Collaborations Don't Work
Stars, Set Yourself On Fire
Destroyer, Kaputt
Broken Social Scene, Pacific Theme
Broken Social Scene, Anthems For a Seventeen Year-Old Girl
Mañana, Fast Days
Fleetwood Mac, Albatross
Khruangbin, August 10
Minako Yoshida, Koi Ha Ryusei
Kraftwerk, Techno Pop
Stelvio Cipriani, Orgasmo nero
Andy Shauf, The Magician
Can, Spray
Denzel Curry, MAD I GOT IT
Peter Marston, Cape Cod Girls
Milan W., I Wait
John Mayer, Ain't No Sunshine Live
Five For Fighting, Easy Tonight
Boards of Canada, Happy Cycling
Phil Collins, Droned
Phil Collins, Hand in Hand
Autechre, 1 1 is
D12, How Come
The Chicks, Truth No. 2
Rimmy Grasa, The Dark
Strange Boutique, Drown
C418, Calm 3
Death Grips, Dilemma
The Wilson Lewes Quartet, Red River Valley
The Acacia Strain, Drawn and Quartered
weirdo girl, 抗うつ剤は死ぬまで飲み続ける.ꗺ̡ׄ͘.mpp3
Wynton Marsalis, Jig's Jig
Chanel Beads, Dedicated to the World
Madlib, Bump Bump Madlib Remix
Madlib, Stick &amp; Move Madlib Remix
Danny Brown, What Up Doe
Conjunto OK, Boranda
Playboi Carti ft Young Nudy, R.I.P. Fredo
Silversun Pickups, Lazy Eye
Arctic Monkeys, Old Yellow Bricks
Diamond Head, It's Electric
Magrudergrind, Pulverizing Hate Mongers
Goatwhore, Baring Teeth For Revolt
Decrepit Birth, (A Departure of the Sun) Ignite the Tesla Coil
Fleshgrind, Murder Without End
Bal-Sagoth, Into the Silent Chambers of the Sapphirean Throne (Sagas from the Antediluvian Scrolls) / Valley Of Silent Paths
Ozzy Osbourne, Diary of a Madman
Yasunori Mitsuda, Nobuo Uematsu
Tourniquet, Immunity Vector
Deceased, Fading Survival
Cold As Life, You Brought You Down
Solstice, Cleansed of Impurity
Hateful, Will-Crushing Wheel
Nine Inch Nails, Your Touch
Craft, Succumb To Sin
Everdawn, Needlework
Yasunori Mitsuda, Nobuo Uematsu
Krallice, Etemenanki
Torche, Across the Shields
Defleshed, Metallic Warlust
Severed Savior, Acts of Sedition
Devin Townsend Project, Dimension Z
Mortification, Eternal Lamentation
Unmoored, Phase of Revulsion
Summoning, Old Mornings Dawn
Yasunori Mitsuda, Nobuo Uematsu
Obituary, Find the Arise
