Sex Pistols, Did You No Wrong
Cyndi Lauper, The Goonies 'R' Good Enough
Karla DeVito, We Are Not Alone
The Call, I Still Believe (Great Design)
Bill Conti, Going the Distance
Cynthia Fee, The Golden Girls ("Thank You For Being A Friend")
Cass Elliot, Make Your Own Kind of Music (Single Version)
David Shaw and the Beat, Infected
Phish, Down With Disease
Jefferson Airplane, Volunteers
Sculpture Club, Black Coffee
Belle & Sebastian, Dirty Dream Number Two
Tunde Adebimpe, Magnetic
Nilüfer Yanya, Keep On Dancing
Father John Misty, She Cleans Up
West Side Cowboy, Ive never met anyone i thought i could really love (until i met you)
Sebadoh, Ocean
That Dog., Never Say Never
Wrens, Faster Gun
Hüsker Dü, Sorry Somehow
Minutemen, History Lesson, Pt. 2
The New Pornographers, Sing Me Spanish Techno
Defiance, Ohio, The White Shore
AJJ, Dissonance
Michigander, Emotional
White Denim, Second Dimension
Pablo Cruise, Love Will Find a Way
Poco, Little Darlin'
Jackson Browne, Somebody's Baby
Unknown Mortal Orchestra, Everyone Acts Crazy Nowadays
Khruangbin, Hold Me Up (Thank You)
Department of Eagles, Family Romance
Chastity Belt, That Guy
Mk.gee, Rockman
Steve Winwood, Higher Love
Don Henley, The Last Worthless Evening
Arctic Monkeys, There’d Better Be A Mirrorball
Two Door Cinema Club, Changing of the Seasons
Madeon, Pay No Mind (feat. Passion Pit)
salute & Jessie Ware, Heaven in Your Arms
Ben Folds Five, Army
Three Six Mafia, Playa Hataz
bless soundcloud, Busta Rhymes Goes to the Wii Shop Channel
Deftones, Be Quiet and Drive (Virtual Memory remix)
Burnt Skull, Sewer Birth
Astrometer, Quantum Divorce
Young Mountain, Cherry Knot
Chalk, Them
Another Heaven, Big Misery
IX of Swords, Fistfight
Pinky Lemon, Floodgate
Feeding Fingers, A Happy Lust for Alphabets
MX Lonely, Papercuts
Shon!, You and I (medic)
Raat, Dreams Alight
Buio Omega, Whole Lotta Buio
Bruised Core, Hark Back
Wretched Blessing, Psuedoascension
Beef, Hell or High Water
S.I. Istwa, In My Room
Rat Champion, Flame Princess
Trauma Glow, Ornaments
Chlorine, Feel
Polamine, Knees
Iress, Blush
White Flowers, You Caught Me
Nine Inch Nails, Into La Mer (The Primal Abuse mix)
Das Racist, Rainbow in the Dark
JAY-Z, A Dream (f. The Notorious B.I.G. & Faith Evans)
Hollie Cook, Postman
10cc, Dreadlock Holiday
Destiny's Child, Survivor
Devin The Dude, What A Job (f. Snoop Dogg & Andre 3000)
Teenage Fanclub & De La Soul, Fallin'
Blur, Tender
King Gizzard & The Lizard Wizard, Iron Lung
Laid Back, White Horse (U.S. Edit)
Hot Chip, One Life Stand
Warmduscher, Yolk Buns USA (Trashmouth Remix)
The Cure, A Few Hours After This...
Combustible Edison and Esquivel, Miniskirt
the dodos, This Is A Business
The Magnetic Fields, Two Characters In Search Of A Country Song
The Mountain Goats, Andrew Eldritch Is Moving Back To Leeds
The Beatles, Nowhere Man
Luna, California (All The Way)
Ponies In The Surf, Government Brand
Soltero, Communist Love Song
Neutral Milk Hotel, Holland, 1945
Hallelujah The Hills, Hallelujah The Hills (Fight Song)
The Breeders, Cannonball
Social Distortion, Sick Boys
R.E.M., Orange Crush
The Pogues, If I Should Fall from Grace With God
Fesliyan Studios, Destruction (2HMFRFH Sweeper)
The Andrews Sisters, Beer Barrel Polka (Roll Out The Barrel)
The Monkees, I'm a Believer
Deerhoof, God 2
Sugarcubes, Motorcrash
Mötley Crüe, Dr. Feelgood
Paul Clayton, Lilliburlero
The Pogues, Thousands Are Sailing
U2, Gloria
Pet Shop Boys, Where the Streets Have No Name (I Can't Keep My Eyes off You)
Al Martino, Spanish Eyes
Molly Johnson, Miss Celie's Blues
Monna Bell, Estaba escrito (Mambo moruno)
Molly Lewis, Island Spell
Alabaster DePlume, Turpentine
Oliver Coates, Prairie
Panda Bear, Ponytail
Paranthetical Girls, Keyholes and Curtains
Cass Elliot, Make Your Own Kind Of Music
The Icicle Works, Whisper to a Scream (Birds Fly)
Naked Eyes, Always Something There to Remind Me
Emmylou Harris, The Boxer
Pentangle, Light Flight
Monster Rally, Sister Owls
Gorillaz, 19-2000
Tunde Adebimpe, Magnetic
Love and Rockets, So Alive
Grace Ives, On The Ground
Echo & the Bunnymen, Lips Like Sugar
Alan Moorhousex, That's Nice
Moses Sumney, In Bloom
Moondog, Wine, Women and Song
Labi Siffre, Love Song for Someone
Al Green, Sha-La-La (Make Me Happy)Orchestral
Curtis Mayfield, Superfly
Surprise Chef, Spiky Boi
Naomi Elizabeth, God Sent Me Here To Rock You
CHVCHES, Clearest Blue
Steely Dan, Black Friday
The Chills, The Oncoming Day (1987 Version)
Spouse, Marbles (Supraphon)
Marbles, Telescope
Balanescu Quartet, Model
Childish Gambino, Atavista
Childish Gambino, Algorhythm
Nick Ward, Control
Sky Ferreira, Leash
Class Actress, Love Me Like You Used To
Voice of the Beehive, Monsters and Angels
Yeah Yeah Yeahs & Boy Harsher, Wolf (Boy Harsher Remix)
Leonard Nimoy, Music to Watch Space Girls By
Joe DeVito, Deny, Defend, Depose
54-40, Ocean Pearl
The Peddlers, On a Clear Day You Can See Forever
Kim Deal, Crystal Breath
Depeche Mode, Never Let Me Down Again
The Beta Band, Inner Meet Me
Belle & Sebastian, Everything Is Now [Instrumental]
Beeef, I Wish It Was Christmas Today
The Magnetic Fields, Everything Is One Big Christmas Tree
Tom Lehrer, A Christmas Carol
Perry Como & The Fontane Sisters, It's Beginning to Look a Lot Like Christmas
Bing Crosby, Christmas In Killarney
The Blarney Lads, Muirsheen Durkin
Jonathan Coulton & John Roderick, 2600
Pas/Cal, Little Red Radio
Iced Shank, Yule Log
Kibble, Warm Fireplace
Grace Jones, The Little Drummer Boy
The Dream Academy, Please Please Please Let Me Get What I Want (Instrumental)
Lindsey Buckingham, Holiday Road
The Beach Boys, Little Saint Nick
The Kinks, Father Christmas
Future Teens, Regift my Heart
They Might Be Giants, Santa's Beard
Bob & Doug McKenzie, The Twelve Days of Christmas
"Weird Al" Yankovic, Christmas At Ground Zero
The Waitresses, Christmas Wrapping
