Re-Flex, The Politics Of Dancing
Maribou State & Holly Walker, Otherside
Teddy Roxpin, Smile High & Felty, the first new color in eons
The Disposable Heroes of Hiphoprisy, Television, the Drug of the Nation
MC 900 Ft Jesus, If I Only Had a Brain (album version)
The Pharcyde, Passin' Me By (Fly as Pie Mix)
Quincy Jones, Summer In the City
George Benson, Give Me the Night
Oscar Brown Jr., Mr. Kicks
Clark Terry, Swahili
Chaka Khan & Rufus, Do You Love What You Feel
Michael Jackson, Baby Be Mine
The Brothers Johnson, Stomp
Interview Clip, BBC Interview with Quincy Jones
Quincy Jones, Getta Bloomin' Move On! (The Self Preservation Society)
Interview Clip, Interview with Quincy Jones
Ginger Root, Loretta (日本語 version)
Dirtwire, Snoozlebug
Jamiroquai, Didjital Vibrations
DJ Mike F., Intro bust/talkover #1
The Big Bay, Before The Rain Comes
Wet The Rope, Alarms Are Obsolete
Catching Hell, Twilight Mind
Julie Ruin, Oh Come On
Kommune, Immigrato
DJ Mike F., talkover #3
Erik Nervous, Comfortable
World Heroes, Presque Isle
Porcelain, Frozen Sea
Taqbir, Al-Zuki Akbar
Victory At Sea, Old Plans
Golden City, Cars In Space
Plastic Bertrand, Ça Plane Pour Moi
Dr. John, New Looks
R.E.M., Underneath The Bunker (Instrumental Loop)
Asia, Only Time Will Tell
Billy Joel, Pressure
Dave Edmunds, Girls Talk
The Clash, Train In Vain
The Cure, Accuracy
Dead Kennedys, Holiday In Cambodia
Agent Orange, Bloodstains (Original Version)
Butthole Surfers, Pepper
Pérez Prado, Mambo No. 8 (Blutarski Extended Mix)
Catherine Wheel, Judy Staring At The Sun (f. Tanya Donelly)
Philip Oakey, Together In Electric Dreams
Freestyle, Don't Stop the Rock
Battles, Africastle
Living Colour, Cult Of Personality
Alabama 3, Ain't Goin' To Goa
Cornershop, Wog (Freaky's Edit)
8 Bit Universe, Slow Ride (8 Bit Tribute to Foghat)
De La Soul, Pain (f. Snoop Dogg)
The High Decibels, Miss Cindy
Creedence Clearwater Revival, Susie Q
Billy Bragg & Wilco, California Stars
Journey, Wheel In the Sky
Beastie Boys, Super Disco Breakin'
Digital Underground, Wind Me Up (Single Edit w/ intro)
Cypress Hill, (Rock) Superstar
Public Enemy, Sophisticated Bitch
Dave Grusin, St. Elsewhere (Blutarski Loop)
LL Cool J, I Can't Live Without My Radio
Kool Moe Dee, I Go To Work
Wu-Tang Clan, Gravel Pit (Clean)
Emergency Broadcast Network, Shoot the Mac-10
Janet Jackson, Rhythm Nation
Annie Lennox, Walking On Broken Glass
HAIM, The Wire
Bacao Rhythm & Steel Band, P.I.M.P.
Death Grips, I've Seen Footage
Das Racist & Heems, Combination Pizza Hut and Taco Bell
Electric Six, Down At McDonnelzz
Wesley Willis, Rock N Roll McDonald's
Descendents, No Fat Burger
PKEW PKEW PKEW, Let's Order A Pizza
The Mighty Mighty Bosstones, Cowboy Coffee
Beastie Boys, 5-Piece Chicken Dinner
Merle Haggard & The Strangers, Mama Tried
The Call, Let The Day Begin
Chuck Mangione, Cannonball Run Theme
Billy Joel, Scenes From An Italian Restaurant
The Who, I Can See For Miles
Kathleen Edwards, Human Touch (feat. Bahamas)
Sade Adu, Young Lion
Abbie Barrett, Follow the Sun
courtney barnett and kurt vile, Fear Is Like A Forest
Tom Smith, Operation: Desert Storm
Candypants, Nerdy Boys
Soul Asylum, Without A Trace
Bahamas, Say What You Like (Live At Massey Hall)
John Prine, Who's Gonna Take The Garbage Out (feat. Iris Dement)
Jesse Malin, Meet Me at the End of the World Again (feat. Lucinda Williams)
Tim Timebomb, Fall Back Down
Self, Ana Ng
Cayetana, Too Old for This
The Cure, Why Can't I Be You?
They Might Be Giants, I Should Be Allowed to Think (Demo)
The Linda Lindas, Stop
Beach Bunny, Cloud 9 (feat. Tegan and Sara)
Me First and the Gimme Gimmes, Over the Rainbow
The Tragically Hip, My Music at Work
The Dollyrots, Walking On Sunshine
Steve Burns, Dead
Rebuilder, Stayin' Alive
Skatune Network, Ms. California
Alex Dominish, Good Enough For Now
The Interrupters, As We Live (feat. Tim Armstrong & Rhoda Dakar)
Levellers, Beautiful Day (feat. Imelda May)
The Mountain Goats, Get Famous
Queen, Bohemian Rhapsody
Sarah McLachlan, The Rainbow Connection
Frank Turner, The Ballad of Me and My Friends
The New Pornographers, Firework in the Falling Snow (feat. Aimee Mann)
The Decemberists, Sons & Daughters
Puddles Pity Party, Perfect Day
Tori Amos, Mr. Zebra
The Front Bottoms, Au Revoir (Adios)
Pearl Jam, Running
Force Model, Strange Lurker
The Jesus & Mary Chain, Chemical Animal
Dehd, Dog Days
Cage The Elephant, Out Loud
Black Crowes, Bedside Manner
The Rolling Stones, Bite My Head Off
RL Burnside, It's Bad You Know
Lead Belly, Midnight Special
Louis Jordan, Caldonia
Charles Bradley, Changes
Lenny Kravitz, Are You Gonna Go My Way (blues version)
Eek-A-Mouse & Lee “Scratch” Perry, Ganjaville Dub
Steel Pulse, Steppin Out
Bad With Phones, Dennis Rodman
Divinyls, Hey Little Boy
Metallica, Love Lies Bleeding-Funeral For A Friend
Ministry, Goddamn White Trash
The Hollywood Persuaders, Drums A Go Go
Nine Inch Nails, Not So Pretty Now
Nitzer Ebb, Murderous
Front 242, Headhunter
Rollins Band, Wartime
Rob Zombie, Dragula
Kicking Harold, Gasoline & Matches
Husker Du, 8Miles High
PJ Harvey, 50ft Queenie
