Ready for the World, Oh Sheila
Flight Facilities, Clair De Lune
Basshunter, Boten Anna
Love Regenerator, Calvin Harris, Hypnagogic (I Can't Wait)
David Guetta, Bang My Head (feat. Sia & Fetty Wap)
Depeche Mode, Strangelove
S.O.S Band, Take Your Time (Do It Right)
Elton John & Dua Lipa, Cold Heart (PNAU Remix)
Cut Copy, Standing In The Middle Of The Field
Dub Pistols, Rapture (featuring Terry Hall)
They Might Be Giants, S-E-X-X-Y (Kendal Mintcake Total Remix)
Underworld, The Hump (Wild Beast)
Bauhaus, Kick in the Eye (Remix Single Version)
Messiah, Temple of Dreams
Bigod 20, America
Pop Will Eat Itself, Def Con One
DJ Crook Air, Usher Foley
Alec Guinness, Resolutions When I Come to Be Old
Galaxie 500, I Wanna Live
Lutalo, Ocean Swallows Him Whole
THUS LOVE, On The Floor
Ezra Cohen & The Big City Band, Kick Back
Doug Tuttle, Dog Eyes
Joyer, Crown
Hereboy, moonblue
jimrat, neck
hemlock, Full
Roxy 2, Silo
Office Dog, Intact
2nd Grade, I Wanna Be On Your Mind
Tasha, The Beginning
Caroline Says, Palm Reader
Addy, Rosemary
Grumpy, Protein
Euphoria Again, Sky Remembers
Waxahatchee, Much Ado About Nothing
Blue Smiley, pond
Glixen, Sick Silent
Her New Knife, purepurepure
Blue Zero, fortress
Mint Field, Sensibilidad dormida
Tanukichan, It Gets Easier (feat. Wisp)
Mo Dotti, whirling sad
charlie, ES
Soft Blue Shimmer, FREQUENCY HAMMER
Desire, Vampire
Jim Legxacy, aggressive
BABii, The Law of Club & Fang (feat. Iglooghost, MUN SING & Pholo)
J.P., Lose
Leon Vynehall, SHELLAC
Caribou, Volume
Yaeji, booboo
Kassie Krut, Reckless
Safe Mind, 6' Pole
Dj Babatr, Sucio (feat. LYZZA)
U2, Zoo Station
Elvis Costello, Waiting For the End of the World
The Jam, The Modern World (Censored Version)
Mission Of Burma, Academy Fight Song
Pixies, All Over The World
Yo La Tengo, Barnaby, Hardly Working
Peter Murphy, Indigo Eyes (Single Edit)
The Go! Team, Bull In The Heather
Shane MacGowan & The Popes, Haunted (with Sinéad O'Connor)
Roy Orbison, In Dreams
The Airborne Toxic Event, Sometime Around Midnight
Billy Joel, The Stranger
Elton John, I Guess That's Why They Call It The Blues
LCD Soundsystem, Losing My Edge
sleepmakeswaves, Verdigris
The Fever Haze, How Lucky My Eyes
Computer Kill, Sing and Play
Lesser Care, Something New
Mark E. Moon, Daylight
Urban Heat, Say the Words
The Sweet Kill, Creeper
Swan Wash, Lights Are Outside
VR SEX, Jenny Killer Glue
COLD EYES, Take It All Back
Don't Get Lemon, Pomp And Circumstance
Molchat Doma, Belaya Polosa
SPECTRES, Real World
Locust Revival, Fleshworld
Russian Baths, Pair
Pixies, Crackity Jones
David Bowie, Where Are We Now?
Angel Olsen, Sister
Beck, Beautiful Way
Two Door Cinema Club, Do You Want It All?
St. Vincent, Strange Mercy
Phil Collins, Take Me Home
ABBA, Under Attack
Joni Mitchell, Both Sides Now
Crosby, Stills & Nash, Suite: Judy Blue Eyes
Queen, Love Of My Life
The Zombies, Time of the Season
Johnny Hallyday, San Francisco
The Stone Roses, Fools Gold
Paul van Dyk, Nothing but You (feat. Hemstock & Jennings)
Röyksopp, Dead to the World
Class Actress, Weekend
Lemonade, Whitecaps
Com Truise, Air Cal
The Japanese House, went to meet her (intro)
The Japanese House, Maybe You're the Reason
Sébastien Tellier, La ritournelle
Rilo Kiley, Silver Lining
MIDI-96, CANYON.MID (OPL3 version)
Led Zeppelin, Kashmir
Japandroids, Arc Of Bar
Harry Styles, Watermelon Sugar
Will Powers, Adventures In Success
Dr. Dre, Nuthin' But A "G" Thang (f. Snoop Dogg)
OutKast, Ms. Jackson (Radio Mix)
Killer Mike & Big Boi, A.D.I.D.A.S.
Sofi Tukker, Purple Hat
DJ Jazzy Jeff & The Fresh Prince, Summertime '98 (Soul Power Remix)
Post Malone & Swae Lee, Sunflower (Spider-Man: Into the Spider-Verse)
Whitney Houston, Greatest Love Of All
Fred Rogers, It's Such a Good Feeling (Weekend Song)
Cynthia Fee, The Golden Girls ("Thank You For Being A Friend")
Cass Elliot, Make Your Own Kind of Music (Single Version)
The Who, Baba O'Riley
The Specials, Ghost Town
Hot Karl, Let's Talk (feat. MC Serch) [feat. MC Serch]
Afu-Ra, God of Rap
Soul Hooligan, Algebra
Radio Citizen, The Hop (feat. Bajka)
Craig Mack, Flava In Ya Ear (Album Version)
Desmond Dekker, 007 (Shanty Town)
Lily Allen, Smile
Billy Bragg, Greetings to the New Brunette
Michael Penn, No Myth
Matthew Sweet, Sick of Myself
The Divine Comedy, Gin Soaked Boy
Inspiral Carpets, Two Worlds Collide
Alice In Chains, I Stay Away
Linda Ronstadt, When Will I Be Loved
Sculpture Club, Black Coffee
Kyle MacLachlan, The Milky Way
The Easybeats, Friday On My Mind
Mephiskapheles, The Bumble Bee Tuna Song
Leon Redbone, Mr. Belvedere ("According To Our New Arrival")
Coyote Shivers, Sugarhigh
Hindu Love Gods, Raspberry Beret
Cranes, Shining Road
Stephanie Mills, Bit By Bit (Theme From "Fletch")
Julian Cope, World Shut Your Mouth
Da Da, Dizz Knee Land
Tenacious D, Explosivo
Rockpile, Teacher Teacher
Sloan, Underwhelmed
Gnarls Barkley, Crazy
Matthew Wilder, Break My Stride
MC Chris, Fett's Vette
Sultans of Ping F.C., Where's Me Jumper?
They Might Be Giants, The End Of The Tour
Suzanne Vega, Blood Makes Noise
Jesus Jones, Blissed
The Orb, Little Fluffy Clouds (7" Edit)
The Stone Roses & Justin Robertson, Waterfall (Justin Robertson's Mix)
Low, Words
Tommy James, Crystal Blue Persuasion (Single Version)
The Flaming Lips, A Spoonful Weighs a Ton
The Beatles, Sun King
The Zombies, Time Of The Season
King Gizzard & The Lizard Wizard, Ice V
The Cure, Just Like Heaven (Dizzy Mix 1990)
Talking Heads, Once In A Lifetime
Robert Palmer, Johnny and Mary
Joy Division, Love Will Tear Us Apart
The Cure, Push
The Police, Re-Humanise Yourself
Orbital, Time Becomes
Charlie Barnes, Alone
Peter Fernandez, Greg Wymer
The Bloodhound Gang, The Choice is Yours
The Supremes, These Boots Are Made For Walking (SILO x Martin Wave remix)
Merril Bainbridge with Shaggy, I Got You Babe
Weird Al Yankovic, Polkamania!
Phil Collins, A Groovy Kind of Love
The Lemonheads, Beautiful
Jimmy Eat World, We Are Never Ever Getting Back Together
The Band of Heathens & Butch Walker, Night Moves
Guns n' Roses, New Rose
Ozzy Osbourne, Mississippi Queen
Fountains of Wayne, ... Baby One More Time
Sonic Youth, Superstar
Grace Cummings, Praise You
Nirvana, Love Buzz
Madonna, Ray of Light
Josh Weathers Band, I Will Always Love You (live)
Fiona Apple, I Want You (w/ Elvis Costello) (live)
Paul Weller, Wishing on a Star
Chaka Khan, I Feel For You
Ike & Tina Turner, Proud Mary
Christine and The Queens, Freedom
Dub Pistols, Rapture (feat. Terry Hall)
MONOWHALES, The Hand That Feeds
Kelly Clarkson, Happier Than Ever
Melt, Harvest Moon
maura dot com, slash uncertain
The Surfrajettes, Spice Up Your Life
The Come Ons, Hip Check!
April March, Baby
The Shivvers, No Reaction
The Tubs, Freak Mode
The Casual Dots, Gypsom Mortar
Nap Eyes, Dark Mystery Enigma Bird
Flowers, All At Once
Apple & The Three Oranges, I'll Give You a Ring (When I Come, If I Come)
Nat Turner Rebellion, Never Too Late
Curtis Harding, Face Your Fear
Charles Stepney, Daddy's Diddies
Mandrill, Chutney
Eddie Chacon, Empire (feat. John Carroll Kirby)
O'Donel Levy, Didn't I Blow Your Mind This Time?
Parsnip, Duality
Lightheaded, Bright Happy Girls
En Attendant Ana, Same Old Story
Cola, At Pace
Slippers, Lock You Out
maura dot com, slash uncertain
Vistoso Bosses, Delirious
The System, Don't Disturb This Groove
Shakespears Sister, Stay
The Spinanes, Spitfire
The Raveonettes, Love In a Trashcan
The Kills, Fried My Little Brains
Deap Vally, Baby I Call Hell (Deap Vally's Version)
Animotion, Obsession
Erasure, Stop!
Daryl Hall & John Oates, Out of Touch
Nu Shooz, I Can't Wait
Wham!, Everything She Wants
maura dot com, That’s That Me Cold Brew-O
Madonna, Deeper and Deeper
Chappell Roan, Good Luck, Babe!
Cotton Candy, M-A-U-R-A
