The Posies, Hate Song
Modest Mouse, Lives
Mike, Tony Seltzer, On God (feat. Earl Sweatshirt & Tony Shhnow)
Bjork, Immature
Tim Hecker, Trade Winds, White Heat
Zulu, Where I'm From
Sturgill Simpson, All Around You
Break, Break
Boards of Canada, Turqoise Hexagon Sun
The Game ft. 50 Cent, Hate It Or Love It
Grouper, Unclean Mind
Live, My Blinded Heart
Live, Jealous Guy
James Taylor, Bartender's Blues
Stuart Duncan, Edgar Meyer, Chris Thile, Yo-Yo Ma, Quarter Chicken Dark
Robert Glasper, Gone
The Band, Look Out Cleveland
Jimmy Eat World, Table for Glasses
Erick Sermon, React (feat. Redman)
Oneohtrix Point Never, Submersible
Kitty Craft, Caught High
Broadcast, Tender Buttons
Stand, R.E.M.
dazegxd, on2u
Space 4, Nala Sinephro
A$AP Rocky, r-Cali
Allman Brothers Band, Done Somebody Wrong
Don Caballero, The Peter Criss Jazz
Sweet Spirit, Baby When I Close My Eyes
Giorgio Moroder, Tom's Diner (feat. Britney Spears)
Underworld, M.E.
Digable Planets, Rebirth of Slick (Cool Like Dat)
Major Lazer, Bubble Butt (feat. Bruno Mars, Tyga & Mystic)
Big Freedia, Azz Everywhere
Young Black Teenagers, Tap The Bottle
The Freelance Hellraiser, Step On Man
Kygo & Whitney Houston, Higher Love
Stan Bush, The Touch
Miss Eaves, 3 Jobs
Impakt, Defcon
MCL, New York, New York (Midnight Mix)
LCD Soundsystem, Get Innocuous! (Soulwax Remix)
Messiah, Temple of Dreams
Fedde Le Grand, Put Your Hands Up for Detroit (Radio Edit)
Ready for the World, Oh Sheila
Sheila E., The Glamorous Life
Whodini & DJ Icey, Five Minutes of Funk (Icey's 7" Magic)
Das Racist & Heems, Combination Pizza Hut and Taco Bell
Phil Collins & Philip Bailey, Easy Lover
Space, Female Of The Species
Adam Ant, Strip (Single Version)
Mitsou, Bye Bye Mon Cowboy (Original Version)
Pet Shop Boys, Rent
Frente!, Labour of Love
Sky Ferreira, Don’t Forget
Mogwai, Ritchie Sacramento
Moon Duo, Jukebox Babe
The Cure, Prayers For Rain (Live)
Daft Punk, Revolution 909
The Crystal Method, Busy Child
The Knife, Silent Shout
New Order, Everything's Gone Green
Suzanne Vega, Fat Man and Dancing Girl
Magdalena Bay, That's My Floor
Happy Mondays, Wrote for Luck
The Strokes, What Ever Happened?
MJ Lenderman, On My Knees
Matthew Sweet, Sick of Myself
Jenny O., Come Get Me
The Beaches, Jocelyn
Allie X & Empress Of, Galina
LCD Soundsystem, All I Want (London Session)
Men I Trust, Husk
Brainstory, Nobody But You
Don Covay & The Goodtimers, Come See About Me
El Michels Affair, Snakes (feat. Lee Fields)
Kelly Finnigan, My Love Is For You
The Beach Boys, Here She Comes
Yellow Days, Gap in the Clouds
Cults, Cells
Chappell Roan, Picture You
Sade, Cherish the Day
FKJ & ((( O ))), Vibin' Out
Alice Phoebe Lou, The World Above
New Order, Age of Consent
Nemahsis, coloured concrete
The Marías, Heavy
Nilüfer Yanya, Just A Western
Leon Bridges, That's What I Love
The Kills, Happier Than Ever
Devon Again, Sunburn
Ethel Cain, For Sure
Suki Waterhouse, Model, Actress, Whatever
The Jesus and Mary Chain, Frequency / Reverence
Memory Tapes, Green Knight
Toro y Moi, Low Shoulders
Washed Out, Amor Fati
Passion Pit, Sleepyhead
Charlotte Gainsbourg, IRM
Yeasayer, Rome
Tangerine Dream, Network 23 (Blutarski Zero Headroom Edit)
Soul Coughing, Lemon Lime
The Secrets, The Loneliest Duet
Vampire Weekend, Campus
Kolya, Somnambulism
Sapling, Everything Was Better
Jonathan Coulton, Mandelbrot Set
The Coral, Dreaming of You
The Kingsmen, Little Latin Lupe Lu
Cream, I Feel Free
The Hollies, Pay You Back With Interest
Johnny Cash, Man In Black
The Magnetic Fields, Lonely Highway
R.E.M., Rotary Eleven
Marvin Berry & The Starlighters, Night Train
James, Sit Down
Catherine Wheel, Little Muscle
Bis, The End Starts Today
The Cure, Shake Dog Shake (New Blood Mix 2018)
Siouxsie & The Banshees, Monitor
HEALTH, HATEFUL
Wolfsheim, Once In A Lifetime
Nine Inch Nails, Sin
Kenny Loggins, Mr. Night
Rainbow, Since You Been Gone
Girls, Lust For Life
