Big Thief, Spud Infinity
The Kids, Fascist Cops
Dead Kennedys, I Fought the Law
Spirit of the Beehive, Stranger Alive
Bola de Cristal, Sugestion Divina
Edgar, We've Hit Bottom
Havah, Strade Piu Buie
CloudKicker, Sando
Ausmuteants, Frandreshcer's Alien Abduction
Angel Face, Bad Feeling
Facs, Wish Defense
Us, Today, What Time Is Ir Now, Goodmorning?
Breeze, hold
Chat Pile, Shame
Black Ends, Pour Me
Terrible Truths, Sink Or Swim
Aberrant Kingdom, Broken Mind
Teen Mortgage, Oligarchy
clipping., Dead Channel Sky
HiTech, SHADOWREALM (feat. Zelooperz)
Painkiller, Samsara VI
808 State, Flow Coma
Panasonic, Hapatus
Can, Halleluwah (Live 1972)
Franz Ferdinand, Hooked
Yesness, You Didn't Need Those Pencils Did You?
BEAK&gt;, Ah Yeh
BEAK&gt;, Ah Yeh
The Cure, A Fragile Thing
Radiohead, Spectre
Franz Ferdinand, The Doctor
Be Your Own Pet, Bad Mood Rising
The Lonely Island, Natalie's Rap (feat. Natalie Portman &amp; Chris Parnell)
The Lonely Island, Natalie's Rap (feat. Natalie Portman &amp; Chris Parnell)
Taxi Girls, The Lion's Share
Taxi Girls, The Lion's Share
Norma Tanega, You're Dead
Faith No More, Surprise! You're Dead!
Faith No More, Surprise! You're Dead!
Mr. Bungle, Pink Cigarette
Mr. Bungle, Pink Cigarette
Revolting Cocks, Stainless Steel Providers
OSEES, LEAR'S EARS
OSEES, LEAR'S EARS
OSEES, CASSIUS, BRUTUS &amp; JUDAS
HParty 2011, BOOONUUUSSSS TRAAAACCCCKKKK (live)
Trent Reznor, Fantastic Voyage (live)
X, Los Angeles
The Cure, Drone Nodrone (live)
Foster The People, Pumped Up Kicks
Randy Newman ft Tom Petty Jackson Browne &amp; John Fogarty, I Love LA (live)
Modest Mouse, Float On
Fencer, Show And Tell
Lol Tolhurst &amp; Budgie, Los Angeles
Guns &amp; Roses, Dead Flowers (unplugged)
Howlin' Wolf, The Killing Floor
Muddy Waters, Mannish Boy
The Doors, LA Woman
Arlo Guthrie, Coming Into Los Angeles
Led Zeppelin, Southbound Suarez
Lambrini Girls, Love
Snoop Dogg, Thank You
Tupac, To Live And Die In LA
Frank Black, Los Angeles
Memphis May Fire ft Blindside, Overdose
Pop Evil, Wishful Thinking
Alice In Chains, Medley (Black Sabbath Soundgarden Judas Priest live)
Soundgarden, Big Dumb Sex
Hollywood Undead, California Dreaming
