The Misfits, We Are 138
Vio-lence, Calling In the Coroner
Baring Teeth, Wreath
Dominus Xul, Dethroning the False Father
Katatonia, Palace of Frost
Drab Majesty, Behind the Wall
Philip Glass, Resource
Sickening Horror, Embrace the Abstract
Leaves' Eyes, Norwegian Lovesong
The Ruins of Beverast, Kain's Countenance Fell
Bloodbath, Putrefying Corpse
Godgory, Adultery
Bohren und der Club of Gore, Vigilante Crusade
A Forest of Stars, Part VI: Let There Be No Light
Cannibal Corpse, Kill Or Become
Nile, 4th Arra of Dagon
Believer, No Apology
Philip Glass, Resource
Firespawn, Shadow Realms
