Beastie Boys, Get It Together
Alya Jade, I TŌNĀ WĀ (BOOM)
BADASSMUTHA, Crocs
King Stingray, Yellow (triple j Like A Version)
MOHI, My Love
Emily Wurramara, Lady Blue
Midnight Oil, First Nation (feat. Jessica Mauboy &amp; Tasman Keith)
Yothu Yindi, Treaty
Electric Fields, One Milkali (One Blood)
Jessica Mauboy, Break My Stride
MOHI, Jasmine
Rei &amp; Olivia Foa'i, Kokomea
Jordyn with a Why, Brown Melodies
Mihirangi, Walk Together
Swizl Jager, Hīnaki (feat. Totz)
DRMNGNOW, Australia Does Not Exist (feat. Philly, Adrian Eagle, Culture Evolves &amp; Pataphysics)
Briggs, Gurrumul &amp; Dewayne Everettsmith, The Children Came Back
Reiki Ruawai, All I Need
Jordyn with a Why, He Rei Niho
Fred Leone, Yirimi Gundir (trials remix) [feat. Trials]
Anna Coddington, Kātuarehe
RIIKI REID, High Heights
Whirimako Black, Marei &amp; Kings, Te ŌhākīKei Hea Taku Reo
Te Kuru Dewes, Don't Rush (feat. Anna Coddington &amp; Jordyn With a Why)
Thelma Plum, We Don't Talk About It
Rei, Haumiri Iho
Alan Dargin, David Hudson, Mark Atkins &amp; Matthew Doyle, Crossings
Tasman Keith, Billy Bad Again
Redd Kross, Jimmy's Fantasy
Stone Temple Pilots, Big Bang Baby
Sonic Youth, Bull In the Heather
Karen O &amp; Danger Mouse, Super Breath
The Ting Tings, Shut Up and Let Me Go
The Math Club, Gimme That Money [feat. Craig Smith &amp; Relaye]
Kneecap, H.O.O.D (2025 Mix)
Lizzo, Truth Hurts
Weezer, Undone:The Sweater Song
Fun., We Are Young (feat. Janelle Monáe)
Soul Coughing, Soundtrack to Mary
Cake, The Distance
Roxy Music, Avalon
Travis, Quicksand
The Cardigans, My Favourite Game
Stellastarr*, Sweet Troubled Soul
Yellow Ostrich, Hate Me Soon
UV-TV, Back to Nowhere
Tilly and the Wall, Heavy Mood
The Charlatans, Weirdo
Coconut Records, Nighttiming
The Kooks, Always Where I Need to Be
Chumbawamba, Mouthful of Shit
The Godfathers, Birth, School, Work, Death
Kaiser Chiefs, Never Miss a Beat
Phoenix, Lasso
Kirsty Maccoll, Can't Stop Killing You
Billy Bragg, She's Got a New Spell
Elvis Costello, Alison
Sinéad O'Connor, I Am Stretched on Your Grave
Tribe, Here at the Home
Ghosts and Shadows, Sharon Is a Cylon
Depeche Mode, Clean
Marianne Faithfull, As Tears Go By
Beyonce, BLACKBIIRD
Gregtronic, Greg Wymer
Mates of State, Second Hand News
Letters to Cleo, Dreams
paris jackson, never going back again
The Dead Suns, Don't Stop
Elizabeth, Go Your Own Way (piano version)
Willie Nelson, Songbird
Evanescence, The Chain
Josh Kelley, You Make Me Loving Fun
The Goo Goo Dolls, I Don't Want to Know
Nolo, Oh Daddy
Hole, Gold Dust Woman
Natalie Imbruglia, Only Love Can Break Your Heart
Ramones, Baby, I Love Your Way
The Sugarcubes, Top of the World
The Cramps, Goo Goo Muck
Etta James, Only Women Bleed
Joe Jackson, Jack, You're Dead
Sharon Jones &amp; The Dap-Kings, What Have You Done For Me Lately?
Happy Mondays, Stayin' Alive
Life in HD, Gone Away
Slaves on Dope, When I'm With You
The Donnas, Living After Midnight
Me First and The Gimme Gimmes, Karma Chameleon
Lola Young, Close to Me (triple j Like a Version)
Rihanna, You Don't Love Me (w/ Vybz Kartel)
Sondre Lerche, Flowers
Brigitte Calls Me Baby, Careless Whisper
Sven Gali, Lunatic Fringe
P!nk, Babe I'm Gonna Leave You (live)
maura dot com, slash uncertain
Emma-Jean Thackray, Wanna Die
Dilettante, Stone
Olivia Lobato, push pull
JADE, IT girl
BLANKA, key to my heart
Stealing Sheep, Alright
Jenny Wilson, BOY (PLEASE FORGIVE ME)
Ela Minus, I WANT TO BE BETTER
Lady Gaga, Abracadabra
Marie Davidson, Demolition
Miriam Bryant, Nothing 4-ever
merci, mercy, Cigarettes In The Dark
Detergente Líquido, El puente imposible
Delivery, Deadlines
Fire Engines, Everyhing's Roses
Sharp Pins, Lorelei
Parsnip, The Light
Fatal Microbes, Violence Grows
Rose Melberg, Distant Ships
Club 8, ooo
maura dot com, slash uncertain
Fine Young Cannibals, Suspicious Minds
Sinéad O'Connor, Mandinka
Cyndi Lauper, Money Changes Everything
Crowded House, Don't Dream It's Over
ABC, The Look Of Love, Pt.1
Q Lazzarus, Goodbye Horses
Tears For Fears, Sowing The Seeds Of Love
Brenda Russell, Piano In The Dark
George Michael, Father Figure
maura dot com, Smoke ‘Em If You Got ‘Em
Bad English, Price of Love
Boston, Amanda
Aerosmith, What It Takes
Cotton Candy, M-A-U-R-A
