Bis, The End Starts Today
Elvis Costello &amp; The Attractions, I Can't Stand Up For Falling Down
The Vibrators, Bad Time
Nebula, Come Down
Banda Black Rio, Maria Fumaça
Weedeater, Wizard Fight
Queens of the Stone Age, Medication
Mose Allison, I'm the Wild Man
The Sadies, Medicine Ball
Camper Van Beethoven, Wasted
The Jam, Start!
Cabaret Voltaire, James Brown (7'' Version)
Black Mountain, Don't Run Our Hearts Around
Manic Street Preachers, Decline &amp; Fall
The Cure, Boys Don't Cry
The Dream Syndicate, Tell Me When It's Over
Fatboy Slim, Michael Jackson
Urge Overkill, The Candidate
Elastica, Stutter
The Empty Hearts, The World's Gone Insane
Superchunk, I Hate History
X, Sex And Dying In High Society
The Revillos, Your Baby's Gone
Detroit Cobras, Bye Bye Baby
Ko &amp; The Knockouts, I Really Hate You
The Saw Doctors, That's What She Said Last Night
Dust Rhinos, Don't Come Knocking
Levellers, The Recruiting Sergeant (War Child Version)
The Stanfields, Mrs. McGrath
The Dreadnoughts, The Cruel Wars
Kilmaine Saints, The Fields of Athenry
The Pogues, Medley: The Recruiting Sergeant/The Rocky Road To Dublin/The Galway Races
The Tom Fun Orchestra, Throw Me to the Rats
Dropkick Murphys, Mick Jones Nicked My Pudding
The Clash, Jail Garage Doors
The Only Ones, Another Girl Another Planet
The Undertones, Jimmy Jimmy
The Rezillos, Top of the Pops
The Adverts, One Chord Wonders
The Ruts, Staring At The Rude Boys
The Specials and Fun Boy Three, Rude Boy's Outta Jail
The Selecter, On My Radio
The Stone Roses, She Bangs the Drums
Guadalcanal Diary, Always Saturday
The Mighty Lemon Drops, Into the Sun
The Plimsouls, Magic Touch
The Del Fuegos, Sound Of Our Town
The Feelies, Rock &amp; Roll
The Refreshments, Banditos
Blimp Rock, Let's All Stay in Tonight
Bash &amp; Pop, On the Rocks
The Mr. T Experience, The Weather is Here, Wish You Were Beautiful
The Freshies, I'm In Love With The Girl On The Manchester Virgin Megastore Checkout Desk
Video Age, Record Shop
The Wombats, Record Shop
Frank Turner, Girl From The Record Shop (feat. Teenage Joans)
The Dickies, Banana Splits (The Tra La La Song)
Liquid Liquid, Cavern
Taco, Puttin' On the Ritz (Original 12-Inch Mix)
Peter Baumann, Strangers In The Night (Long Version)
LEATHERS, Highrise
Gino Vannelli, Black Cars (Special Dance Mix)
BASIC, Positive Halfway
Mood Six, What Have You Ever Done?
The Siddeleys, My Favourite Wet Wednesday Afternoon
Young Scum, See It Through
Razorcuts, I Heard You The First Time
The Brilliant Corners, Forever
BASIC, New Auspicious
Klaus Nomi, Total Eclipse
Spandau Ballet, To Cut A Long Story Short
IST IST, I Can't Wait For You
Foreign Press, More Than A Gift
BASIC, For Stars of the Air
The Stranglers, Always the Sun
The Damned, Under The Floor Again
TR/ST, All At Once
Bryan Ferry, Don't Stop The Dance
BASIC, Last Resort of the Gambling Man
Grace Jones, Love Is the Drug
Hipnosis, Astrodance (Computer Remix)
Sofie Royer, I Forget (I’m So Young)
Cathy Dennis, Touch Me (All Night Long)
BASIC, Nerve Time
Billy Satellite, I Wanna Go Back
Glass Tiger, Don't Forget Me (When I'm Gone)
The Chores, Via Rodeo
Balance, Breaking Away
BASIC, Versatile Switch
Galaxie 500, I Wanna Live
Lutalo, Ocean Swallows Him Whole
THUS LOVE, On The Floor
Ezra Cohen &amp; The Big City Band, Kick Back
Doug Tuttle, Dog Eyes
Joyer, Crown
Hereboy, moonblue
jimrat, neck
hemlock, Full
Roxy 2, Silo
Office Dog, Intact
2nd Grade, I Wanna Be On Your Mind
Tasha, The Beginning
Caroline Says, Palm Reader
Addy, Rosemary
Grumpy, Protein
Euphoria Again, Sky Remembers
Waxahatchee, Much Ado About Nothing
Blue Smiley, pond
Glixen, Sick Silent
Her New Knife, purepurepure
Blue Zero, fortress
Mint Field, Sensibilidad dormida
Tanukichan, It Gets Easier (feat. Wisp)
Mo Dotti, whirling sad
charlie, ES
Soft Blue Shimmer, FREQUENCY HAMMER
Desire, Vampire
Jim Legxacy, aggressive
BABii, The Law of Club &amp; Fang (feat. Iglooghost, MUN SING &amp; Pholo)
J.P., Lose
Leon Vynehall, SHELLAC
Caribou, Volume
Yaeji, booboo
Kassie Krut, Reckless
Safe Mind, 6' Pole
Dj Babatr, Sucio (feat. LYZZA)
Glass Beams, Black Sand
Adore, Supermum!
Hinds,Beck, Boom Boom Back
Vundabar, Life Is A Movie
The Cure, A Fragile Thing
The Serfs, Regen
Lady Pills, Didn't You
Fake Fruit, Long Island Iced Tea
Dry Cleaning, Magic of Meghan
Beeef, Narragansett Bay
Gamma Ray, Struck Down
Tube Alloys, Lizard Kingdom
Super-X, 45
Geordie Greep, The New Sound
Tanukichan, City Bus
Samuel S.C., Exit Scene
Some Gifts, Tina Turner
Fen Fen, Borscht
Consensus Madness, Animosity
Tricot, 18, 19
Truth Cult, Kokaine Kommandos
Wake In Fright, Good Cop Bad Cop
Human Impact, Corrupted
Blossom, Warm Stay
The Rabbits, Seiteki Ningen
Flux Of Pink Indians, Background of Malfunction
Cable, Gun Metal Grey
Garrison, Always Be Closing
Hood, The Lost You
Hilken Mancini Band, Anniversary
Action Patrol, Tube
Wamblee, Come and Get Your Love
Elisapie, Don't Make Me Blue
JC Campbell, Sweet Soul Love
Kyle McKearney, Tuesday's Gone
Cris Derksen, Beautiful Nightmare
Amanda Rheaume, I Won't Hide
Raye Zaragoza, In the River
Adrian Sullivan, Scared
DJ Shub, Northern Cree, Indomitable
Charlie Paar, Over the Red Cedar
Peter La Farge, Lavender Cowboy
Lori Kole, One of Us
Ode'min Kwe Singers, Humble Song
Stand N Rock, Stand Up
Supaman, Know Better Do Better
Believer, Deerlady
Dead Pioneers, We Were Punk First
Crystal Shawanda, Your Cheatin' Heart
Lido Pimienta, Pelo Cucu
Celeigh Cardinal, Just Let Me Lie to You
Rhiannon Giddens, Iron &amp; Wine, Forever Young
Serena Ryder, Better Now
Leonard Sumner, Memories
Marx Cassity, Somewhere
Kym Gouchie, Atsoo Shun
Marie Gaudet, Seven Grandfathers (feat. Michelle St. John)
Shy-Anne Hovorka, Gookum's Song
Morgan Toney, Emma Stevens, Shift from tha 902, Wela'lin (Thank You)
JJ Lavallee, Good Metis Man
Robbie Robertson, Heartbeat Theme / Ni-U-Kon-Ska
William Prince, 7
Indian City, Wannabe (feat. Chantal Kreviazuk)
The Cure, Alone
The Cure, The Hanging Garden (demo)
The Cure, The Blood
Billy Idol, Eyes Without A Face
Billy Idol, Cousin Kevin (live)
Billy Idol, Rebel Yell (live from 106
Bono, Dreaming With Tears In My Eyes
U2, Stay (Far Away So Close)
U2, Until The End Of The World
REM, Drive
REM, You Are The Everything
REM, The Passenger (live)
XTC, Generals &amp; Majors
XTC, Medley (recorded live at WFNX)
XTC, Dear God
Patti Smith Group, So You Wanna Be A Rock &amp; Roll Star
Patti Smith Group, Gloria
Patti Smith with Choir Choir Choir ft Stewart Copeland, People Have The Power (live)
The Clash, Should I Stay Or Should I Go (live)
The Clash, Pressure Drop
The Clash, Know Your Rights (demo)
Nine Inch Nails, Sanctified (It Burns version)
1000 Homo DJs, Supernaut (Trent Reznor vocals)
Nine Inch Nails, Everyday Is Exactly The Same (tour rehearsal version)
Fozzie, America
Japanther, Radical Businessman
Speaker For The Dead, Worcester Song
The Galileo 7, Nobody Knows Anything
Cosmonauts, Doom Generation
Built to Spill, Carry the Zero
Ride, Vapour Trail
The Clash, Police &amp; Thieves
Lee "Scratch" Perry, Having a Party
A Tribe Called Quest, Oh My God (UK Flavour Radio Mix)
FU-Schnickens, True Fuschnick
Beastie Boys, Shake Your Rump (Truly Odd &amp; J-Roc Remix)
Paddy Kingsland, The Earthmen
Lizzy Mercier Descloux, Fire
Mike Doughty, Ta Douleur
HAIM, The Wire
Dutch Tulips, Sick Middle
Avril Lavigne, Sk8er Boi
Nine Inch Nails, Terrible Lie
Metallica, The Call of Ktulu
Ramona Silver, Wonder Woman
Bikini Kill, Rebel Girl (7" Version)
The Nerves, Hanging On The Telephone
Operation Ivy, Sound System
The Normal, T.V.O.D.
Bauhaus, Dark Entries
The Cure, Grinding Halt
The Futureheads, Trying Not to Think About Time
The Del Fuegos, I Always Call Her Back
Lyres, Help You Ann
Barry &amp; The Remains, Why Do I Cry
Candy Butchers, Till You Die
Mary Lou Lord, His Indie World
Randy And The Rainbows, Denise
Primal Scream, Velocity Girl
Margo Guryan, Sunday Mornin'
Grinderman, Honey Bee (Let's Fly to Mars)
Moon Duo, Jukebox Babe
Local Natives, Dark Days (feat. Sylvan Esso) [Foals Remix]
Grace Jones, I've Seen That Face Before (Libertango)
Pixies, Manta Ray
The Budos Band, Black Venom
The Viscounts, Harlem Nocturne
Morphine, Thursday
John Cafferty &amp; The Beaver Brown Band, On the Dark Side
Tom Petty, Runnin' Down A Dream
Los Fabulosos Cadillacs, Matador
Heart, Barracuda
Jefferson Starship, Jane
Kiss, I Was Made for Lovin' You
Asia, Sole Survivor
Sebadoh, Flame
Sonic Youth, Bull In the Heather
Soul Coughing, Soundtrack To Mary
Throwing Muses, Devil's Roof
Mother Love Bone, Stardog Champion
The Jesus and Mary Chain, Sugar Ray
The Ventures, Pipeline
Dick Dale &amp; The Del-Tones, King Of The Surf Guitar
Jorgen Ingmann &amp; His Guitar, Apache
Link Wray &amp; His Ray Men, Rumble
Pixies, Wave Of Mutilation (UK Surf)
The Sheila Divine, Automatic Buffalo
Stone Temple Pilots, Sour Girl
Frente!, Labour of Love
New Order, Bizarre Love Triangle (12" Extended Dance Mix)
The Cure, Wendy Time
Galaxie 500, I Wanna Live
Lutalo, Ocean Swallows Him Whole
THUS LOVE, On The Floor
Ezra Cohen &amp; The Big City Band, Kick Back
Doug Tuttle, Dog Eyes
Joyer, Crown
Hereboy, moonblue
jimrat, neck
hemlock, Full
Roxy 2, Silo
Office Dog, Intact
2nd Grade, I Wanna Be On Your Mind
Tasha, The Beginning
Caroline Says, Palm Reader
Addy, Rosemary
Grumpy, Protein
Euphoria Again, Sky Remembers
Waxahatchee, Much Ado About Nothing
Blue Smiley, pond
Glixen, Sick Silent
Her New Knife, purepurepure
Blue Zero, fortress
Mint Field, Sensibilidad dormida
Tanukichan, It Gets Easier (feat. Wisp)
Mo Dotti, whirling sad
charlie, ES
Soft Blue Shimmer, FREQUENCY HAMMER
Desire, Vampire
Jim Legxacy, aggressive
BABii, The Law of Club &amp; Fang (feat. Iglooghost, MUN SING &amp; Pholo)
J.P., Lose
Leon Vynehall, SHELLAC
Caribou, Volume
Yaeji, booboo
Kassie Krut, Reckless
Safe Mind, 6' Pole
Dj Babatr, Sucio (feat. LYZZA)
Glass Beams, Black Sand
Adore, Supermum!
Hinds,Beck, Boom Boom Back
Vundabar, Life Is A Movie
The Cure, A Fragile Thing
The Serfs, Regen
Lady Pills, Didn't You
Fake Fruit, Long Island Iced Tea
Dry Cleaning, Magic of Meghan
Beeef, Narragansett Bay
Gamma Ray, Struck Down
Tube Alloys, Lizard Kingdom
Super-X, 45
Geordie Greep, The New Sound
Tanukichan, City Bus
Danny Paul Grody Duo, Hawk Hill
THALA, twotwentytwo
Savoir Adore, Kiss
Owen, Penny
Orcas, Riptide
Harper, motherly
Jake Xerxes Fussell, When I'm Called
Homeshake, Smiling
Good Morning, The Lake
Pedro The Lion, Little Help
From Indian Lakes, Hold Me Down
Prune 99, Swell
Maya Hawke, Okay
Kate de Rosset, Heart Desire
How To Dress Well, On It and Around It
Party Milk, Swimming Pool Sparkle
Chromatics, Shadow (Last Dance Instrumental)
Belle and Sebastian, Everything Is Now (Instrumental)
LCD Soundsystem, Someone Great
Roxy Music, Avalon
Wings, With a Little Luck
Billy Joel, Just The Way You Are
Supertramp, Goodbye Stranger
Fleetwood Mac, Everywhere
Beck, Jack-Ass
Tears for Fears, Everybody Wants To Rule The World
Japanese Breakfast, Head Over Heels
Radiohead, Everything In Its Right Place
Vampire Weekend, The Kids Don't Stand A Chance
AYLIVA, Nein!
Chappell Roan, Good Luck, Babe!
Doves, There Goes The Fear
David Bowie, Seven Years in Tibet
Don Henley, Sunset Grill
Pale Saints, Sight of You
Love Spirals Downwards, I'll Always Love You
Dif Juz, Re
Pretenders, Back On the Chain Gang
The Sven Libaek Orchestra, Thatcherie
Wamblee, Come and Get Your Love
Elisapie, Don't Make Me Blue
JC Campbell, Sweet Soul Love
Kyle McKearney, Tuesday's Gone
Cris Derksen, Beautiful Nightmare
Amanda Rheaume, I Won't Hide
Raye Zaragoza, In the River
Adrian Sullivan, Scared
DJ Shub, Northern Cree, Indomitable
Charlie Paar, Over the Red Cedar
Peter La Farge, Lavender Cowboy
Lori Kole, One of Us
Ode'min Kwe Singers, Humble Song
Stand N Rock, Stand Up
Supaman, Know Better Do Better
Believer, Deerlady
Dead Pioneers, We Were Punk First
Crystal Shawanda, Your Cheatin' Heart
Lido Pimienta, Pelo Cucu
Celeigh Cardinal, Just Let Me Lie to You
Rhiannon Giddens, Iron &amp; Wine, Forever Young
Serena Ryder, Better Now
Leonard Sumner, Memories
Marx Cassity, Somewhere
Kym Gouchie, Atsoo Shun
Marie Gaudet, Seven Grandfathers (feat. Michelle St. John)
Shy-Anne Hovorka, Gookum's Song
Morgan Toney, Emma Stevens, Shift from tha 902, Wela'lin (Thank You)
JJ Lavallee, Good Metis Man
Robbie Robertson, Heartbeat Theme / Ni-U-Kon-Ska
William Prince, 7
Indian City, Wannabe (feat. Chantal Kreviazuk)
Giorgio Moroder, Tom's Diner (feat. Britney Spears)
Suzanne Vega, Rats
The Boomtown Rats, I Don't Like Mondays
The Bangles, Manic Monday
Matthew Sweet &amp; Susanna Hoffs, Killing Moon
Kneecap, Better Way To Live (feat. Grian Chatten)
Fontaines D.C., Starburster
Jurassic 5, What's Golden
The Math Club, Gimme That Money (Loot)
Propellerheads, History Repeating (feat. Miss Shirley Bassey)
The B-52's, Bushfire
James, Sit Down
They Might Be Giants, Your Racist Friend
The Heavy, How You Like Me Now
Florence + the Machine, Dog Days Are Over
Phoenix, Fences
Justice &amp; Tame Impala, Neverender
Saint Motel, Stay Golden
Morrissey, Lucky Lisp
Johnny Marr, Hideaway Girl
The Smiths, These Things Take Time
Fitz and The Tantrums, Moneygrabber
I DONT KNOW HOW BUT THEY FOUND ME, Leave Me Alone
COIN, Chapstick
Spandau Ballet, Gold
ABC, Poison Arrow (Single Version)
Prince &amp; The Revolution, I Would Die 4 U
MUTEMATH, Electrify
The Faint, Your Retro Career Melted
Freezepop, Less Talk More Rokk
NIN, The Hand That Feeds
Depeche Mode, Policy of truth
Donna Summer, MacArthur Park
Gregtronic, Greg Wymer
Willie Nelson, Do You Realize??
Allie Goertz, We're In This Together
The Kills, Happier Than Ever
The Scarlet Opera, Heaven Is a Place on Earth
The Black Sweden, Ballroom Blitz / Dancing Queen
Charli xcx &amp; The Japanese House, Apple
Me First and The Gimme Gimmes, Believe
Dinosaur Jr., Show Me the Way
The Popguns, Can I Kick It?
Robert Palmer, You Can Have It (Take My Heart)
Dave Matthews &amp; Tim Reynolds, Kashmir (live)
Love and Rockets, Ball of Confusion (That's What the World is Today)
Deep Street Soul, Kick Out the Jams
Jimmy Buffett, Weather With You
Cyndi Lauper, Walk On By
Sebadoh, Cold as Ice (live on XFM)
Emm Gryner, Crazy Train
Eagles of Death Metal, Family Affair
Social Distortion, Maybeline
The Jaded Hearts Club, Reach Out I'll Be There
Stevie Wonder, For Once in My Life
Little Richard, Good Golly Miss Molly
UB40, Red Red Wine
U2, Night + Day
Lone Cowboys, You Light Up My Life
Patti Smith, Gloria
Slothrust, Pony
Sponge, The More You Ignore Me, The Closer I Get
Kyle MacLachlan, A New Day For All But The Dead
Good News, Orange Juice In The Shower
Detergente Líquido, Trambahía
Pozi, Faulty Receiver
Kleenex, DC-10
Grazia, Cheap
Morgan Noise, I Put Everything
Desperate Journalist, 7
Pom Poko, Growing Story
Fire Engines, Everyhing's Roses
His Electro Blue Voice, By Chance
KEG, Sate The Worm
GHLOW, Lost My Mind
Enumclaw, Not Just Yet
Girl Ultra, 5to elemento
Lush, Second Sight
Lilys, Timber
Drop Nineteens, Winona
Mhaol, Pursuit
Drahla, Grief In Phantasia
Milli Vanilli, Blame It on the Rain
Billie Eilish, BIRDS OF A FEATHER
Jon Secada, Just Another Day
Crowded House, Don't Dream It's Over
Chappell Roan, Good Luck, Babe!
Roxette, It Must Have Been Love
Wham!, Club Tropicana
Timex Social Club, Rumors
Pretty Poison, Catch Me (I'm Falling)
JADE, Angel Of My Dreams
maura dot com, A Working Theory Of Clerks-Core
Fake Fruit, Well Song
Dry Cleaning, Her Hippo
Hot Hot Heat, 5 Times Out Of 100
The Rondelles, Revenge
Cotton Candy, M-A-U-R-A
Gary Portnoy, ‘Cheers’ End Credits
Giorgio Moroder, Tom's Diner (feat. Britney Spears)
Suzanne Vega, Rats
The Boomtown Rats, I Don't Like Mondays
The Bangles, Manic Monday
Matthew Sweet &amp; Susanna Hoffs, Killing Moon
Kneecap, Better Way To Live (feat. Grian Chatten)
Fontaines D.C., Starburster
Jurassic 5, What's Golden
The Math Club, Gimme That Money (Loot)
Propellerheads, History Repeating (feat. Miss Shirley Bassey)
The B-52's, Bushfire
James, Sit Down
They Might Be Giants, Your Racist Friend
The Heavy, How You Like Me Now
Florence + the Machine, Dog Days Are Over
Phoenix, Fences
Justice &amp; Tame Impala, Neverender
Saint Motel, Stay Golden
Morrissey, Lucky Lisp
Johnny Marr, Hideaway Girl
The Smiths, These Things Take Time
Fitz and The Tantrums, Moneygrabber
I DONT KNOW HOW BUT THEY FOUND ME, Leave Me Alone
COIN, Chapstick
Spandau Ballet, Gold
ABC, Poison Arrow (Single Version)
Prince &amp; The Revolution, I Would Die 4 U
MUTEMATH, Electrify
The Faint, Your Retro Career Melted
Freezepop, Less Talk More Rokk
NIN, The Hand That Feeds
Depeche Mode, Policy of truth
Liquid Liquid, Cavern
Taco, Puttin' On the Ritz (Original 12-Inch Mix)
Peter Baumann, Strangers In The Night (Long Version)
LEATHERS, Highrise
Gino Vannelli, Black Cars (Special Dance Mix)
BASIC, Positive Halfway
Mood Six, What Have You Ever Done?
The Siddeleys, My Favourite Wet Wednesday Afternoon
Young Scum, See It Through
Razorcuts, I Heard You The First Time
The Brilliant Corners, Forever
BASIC, New Auspicious
Klaus Nomi, Total Eclipse
Spandau Ballet, To Cut A Long Story Short
IST IST, I Can't Wait For You
Foreign Press, More Than A Gift
BASIC, For Stars of the Air
The Stranglers, Always the Sun
The Damned, Under The Floor Again
TR/ST, All At Once
Bryan Ferry, Don't Stop The Dance
BASIC, Last Resort of the Gambling Man
Grace Jones, Love Is the Drug
Hipnosis, Astrodance (Computer Remix)
Sofie Royer, I Forget (I’m So Young)
Cathy Dennis, Touch Me (All Night Long)
BASIC, Nerve Time
Billy Satellite, I Wanna Go Back
Glass Tiger, Don't Forget Me (When I'm Gone)
The Chores, Via Rodeo
Balance, Breaking Away
BASIC, Versatile Switch
Good News, Orange Juice In The Shower
Detergente Líquido, Trambahía
Pozi, Faulty Receiver
Kleenex, DC-10
Grazia, Cheap
Morgan Noise, I Put Everything
