     seq                                        show                                      episode                                  artist                                                                     track
148  148                             ALLSTON PUDDING                                   Talk Break                        Elias Rønnenfelt                                                               No One Else
149  149                             ALLSTON PUDDING                                   Talk Break                               Spiral XP                                                                    Sinner
150  150                             ALLSTON PUDDING                                   Talk Break                                  skirts                                                                       Run
151  151                             ALLSTON PUDDING                                   Talk Break                          Shower Curtain                                                              benadryl man
152  152                             ALLSTON PUDDING                                   Talk Break                            Fashion Club                                                                 Confusion
153  153                             ALLSTON PUDDING                                   Talk Break                               Open Head                                                                  Catacomb
154  154                             ALLSTON PUDDING                                   Talk Break                   SPIRIT OF THE BEEHIVE                                                            STRANGER ALIVE
155  155                             ALLSTON PUDDING                                   Talk Break  They Are Gutting a Body of Water Remix                                                      shaniatwainlovestory
156  156                             ALLSTON PUDDING                                   Talk Break                            COUCOU CHLOE                                                                     GUESS
157  157                             ALLSTON PUDDING                                   Talk Break                              yunè pinku                                                                Half Alive
158  158                             ALLSTON PUDDING                                   Talk Break                             Rolling Mix                                                              Femme Fatale
159  159                             ALLSTON PUDDING                                   Talk Break               Sangre Nueva & Florentino                                                                      Toka
160  160                             ALLSTON PUDDING                                   Talk Break                        They Hate Change                                                                       Doe
161  161                             ALLSTON PUDDING                                   Talk Break                                  HiTech                                                                    SPANK!
162  162                             ALLSTON PUDDING                                   Talk Break                    Susobrino & Dj Fucci                                                                  Esquites
163  163                             ALLSTON PUDDING                                   Talk Break                         Indigo De Souza                                                                      EVIL
164  164                                   RAT FEVER                                         #150                          Parquet Courts                                                Walking at a Downtown Pace
165  165                                   RAT FEVER                                         #150                             The Outlets                                                             Knock Me Down
166  166                                   RAT FEVER                                         #150                          Cloud Nothings                                                              Stay Useless
167  167                                   RAT FEVER                                         #150                             Control Top                                                            Chain Reaction
168  168                                   RAT FEVER                                         #150                                   Beeef                                                          Nice Clean Shirt
169  169                                   RAT FEVER                                         #150                            Speedy Ortiz                                                                     Scabs
170  170                                   RAT FEVER                                         #150                             Buffalo Tom                                                                 Tangerine
171  171                                   RAT FEVER                                         #150                               THUS LOVE                                                                Put On Dog
172  172                                   RAT FEVER                                         #150                         Squirrel Flower                                                            Intheskatepark
173  173                                   RAT FEVER                                         #150                        Juliana Hatfield                                                         Mouthful of Blood
174  174                                   RAT FEVER                                         #150                           Colleen Green                                                                        TV
175  175                                   RAT FEVER                                         #150                              Mean Creek                                                                 Cool Town
176  176                                   RAT FEVER                                         #150                                 Alvvays                                                      After The Earthquake
177  177                                   RAT FEVER                                         #150                        Courtney Barnett                                                        Pedestrian at Best
178  178                                   RAT FEVER                                         #150                                 Eagulls                                                                 Possessed
179  179                                   RAT FEVER                                         #150                          The So So Glos                                                          Dancing Industry
180  180                                   RAT FEVER                                         #150                                    Dehd                                                                  Dog Days
181  181                                   RAT FEVER                                         #150                                  TORRES                                                                   Collect
182  182                                 POLICYMAKER                                          #13                             Closetalker                                                               J Masochist
183  183                                 POLICYMAKER                                          #13                          Silicon Values                                                          What Do You Hate
184  184                                 POLICYMAKER                                          #13                                Pardoner                                                     When She's Next To Me
185  185                                 POLICYMAKER                                          #13                                Memo PST                                                           Platform Damage
186  186                                 POLICYMAKER                                          #13                              Snow Trail                                                             Constructions
187  187                                 POLICYMAKER                                          #13                            The Van Pelt                                                        Nanzen Kills A Cat
188  188                                 POLICYMAKER                                          #13                                Whippets                                                                     Drone
189  189                                 POLICYMAKER                                          #13                                Worriers                                                                 Future Me
190  190                                 POLICYMAKER                                          #13                                Ambulanz                                                               Run Run Run
191  191                                 POLICYMAKER                                          #13                        Daylight Robbery                                                               Mess Inside
192  192                                 POLICYMAKER                                          #13                             Party Dozen                                                              Judge Hammer
193  193                                 POLICYMAKER                                          #13                                    Lika                                                 Nowhere Is Where I Belong
194  194                                 POLICYMAKER                                          #13                                It Thing                                                               Roman Baths
195  195                                 POLICYMAKER                                          #13                                Mordecai                                                           Meat On A Stick
196  196                                 POLICYMAKER                                          #13                            Vivian Girls                                                       Where Do You Run To
197  197                                 POLICYMAKER                                          #13                              Tiger Trap                                                           Supreme Nothing
198  198                                 POLICYMAKER                                          #13                          worbler-autodj                                           autodj » cmd » encoder-shutdown
199  199                                 POLICYMAKER                                          #13                                 grahams                                                   Show will begin shortly
200  200                                 POLICYMAKER                                          #13               These Stains Are Who I Am                                                           programme theme
201  201                                 POLICYMAKER                                          #13                                 The Bug                                            Annihilated (Force of Gravity)
202  202  GRAHAMS' COMPLETELY NORMAL RADIO PROGRAMME                                      unknown                                 The Bug                                                Fucka (Tongue As A Weapon)
203  203  GRAHAMS' COMPLETELY NORMAL RADIO PROGRAMME                                      unknown                                    Coil                                                             Things Happen
204  204  GRAHAMS' COMPLETELY NORMAL RADIO PROGRAMME                                      unknown                                100 gecs                                                          Doritos & Fritos
205  205  GRAHAMS' COMPLETELY NORMAL RADIO PROGRAMME                                      unknown                            Cyndi Lauper              Girls Just Want to Have Fun (2013 Anamanaguchi Remix, Mix 2)
206  206  GRAHAMS' COMPLETELY NORMAL RADIO PROGRAMME                                      unknown                          Juliette Lewis                                                               Hardly Wait
207  207  GRAHAMS' COMPLETELY NORMAL RADIO PROGRAMME                                      unknown                          The Bobby Lees                                                              Strange Days
208  208  GRAHAMS' COMPLETELY NORMAL RADIO PROGRAMME                                      unknown                             David Bowie                                                    Hallo Spaceboy (Remix)
209  209  GRAHAMS' COMPLETELY NORMAL RADIO PROGRAMME                                      unknown                   How to destroy angels                                               Is Your Love Strong Enough?
210  210  GRAHAMS' COMPLETELY NORMAL RADIO PROGRAMME                                      unknown                         Nine Inch Nails                                             The Hand That Feeds (DFA Mix)
211  211  GRAHAMS' COMPLETELY NORMAL RADIO PROGRAMME                                      unknown                            Allie Goertz                                                                      Wish
212  212  GRAHAMS' COMPLETELY NORMAL RADIO PROGRAMME                                      unknown                                Kim Deal                                                        A Good Time Pushed
213  213  GRAHAMS' COMPLETELY NORMAL RADIO PROGRAMME                                      unknown                              Zola Jesus                                                                   The Way
214  214  GRAHAMS' COMPLETELY NORMAL RADIO PROGRAMME                                      unknown             Public Service Broadcasting                                                          Towards the Dawn
215  215  GRAHAMS' COMPLETELY NORMAL RADIO PROGRAMME                                      unknown                The Jesus and Mary Chain                                                           Just Like Honey
216  216  GRAHAMS' COMPLETELY NORMAL RADIO PROGRAMME                                      unknown                              Ducks Ltd.                                        Head On (feat. Illuminati Hotties)
217  217  GRAHAMS' COMPLETELY NORMAL RADIO PROGRAMME                                      unknown                               Pat Fleet                                                pat fleet drop (telephone)
218  218  GRAHAMS' COMPLETELY NORMAL RADIO PROGRAMME                                      unknown                             The Beatles                                                       Across The Universe
219  219  GRAHAMS' COMPLETELY NORMAL RADIO PROGRAMME                                      unknown             Godspeed You! Black Emperor                                               SUN IS A HOLE SUN IS VAPORS
220  220  GRAHAMS' COMPLETELY NORMAL RADIO PROGRAMME                                      unknown                              Aphex Twin                                                      Rhubarb Orc 1953 Rev
221  221  GRAHAMS' COMPLETELY NORMAL RADIO PROGRAMME                                      unknown              Charli xcx & Billie Eilish                                             Guess featuring Billie Eilish
222  222  GRAHAMS' COMPLETELY NORMAL RADIO PROGRAMME                                      unknown                                Hot Chip                                                                    Guilty
223  223  GRAHAMS' COMPLETELY NORMAL RADIO PROGRAMME                                      unknown                         LCD Soundsystem        (we don't need this) fascist groove thang (electric lady sessions)
224  224  GRAHAMS' COMPLETELY NORMAL RADIO PROGRAMME                                      unknown                                     !!!                         When The Going Gets Tough, The Tough Get Karazzee
225  225  GRAHAMS' COMPLETELY NORMAL RADIO PROGRAMME                                      unknown                               Brian Eno                                                               Third Uncle
226  226  GRAHAMS' COMPLETELY NORMAL RADIO PROGRAMME                                      unknown                             Tanya Tagaq                                                                 Blood-Auk
227  227  GRAHAMS' COMPLETELY NORMAL RADIO PROGRAMME                                      unknown                             HParty 2011                                        BOOONUUUSSSS TRAAAACCCCKKKK (live)
228  228  GRAHAMS' COMPLETELY NORMAL RADIO PROGRAMME                                      unknown                           Faith No More                                                                Just a Man
229  229                         AMERICAN DEBAUCHERY                                         #115                      Kris Kristofferson                                 Sunday Morning Coming Down (acoustic RIP)
230  230                         AMERICAN DEBAUCHERY                                         #115             Joan Jett & The Blackhearts                                                            Bad Reputation
231  231                         AMERICAN DEBAUCHERY                                         #115                                 Ryder B                                                          I Wanna Be Alone
232  232                         AMERICAN DEBAUCHERY                                         #115                               The Kills                                                         Happier Than Ever
233  233                         AMERICAN DEBAUCHERY                                         #115                                The Cure                                                                     Alone
234  234                         AMERICAN DEBAUCHERY                                         #115                                 The The                 Some Days I Drink My Coffee By The Grave Of William Blake
235  235                         AMERICAN DEBAUCHERY                                         #115                                Fishbone                                                        All We Have Is Now
236  236                         AMERICAN DEBAUCHERY                                         #115           Jah Wobble ft Sinead O'Connor                                                            Visions Of You
237  237                         AMERICAN DEBAUCHERY                                         #115                           The Yardbirds                             Dazed And Confused (live TV performance 1968)
238  238                         AMERICAN DEBAUCHERY                                         #115                            Led Zeppelin                             Dazed And Confused (live TV performance 1969)
239  239                         AMERICAN DEBAUCHERY                                         #115                            Black Crowes                                                           Rats And Clowns
240  240                         AMERICAN DEBAUCHERY                                         #115                             Mick Jagger                                                          Don't Tear Me Up
241  241                         AMERICAN DEBAUCHERY                                         #115                             Muck Sticky                                                               Pot Smokin'
242  242                         AMERICAN DEBAUCHERY                                         #115             THOT Squad ft Sophie Hunter                                                            Hoes Depressed
243  243                         AMERICAN DEBAUCHERY                                         #115                               Ice Spice                                                      You Think U The Shit
244  244                         AMERICAN DEBAUCHERY                                         #115                             Shelf Lives                                                         Skirts And Salads
245  245                         AMERICAN DEBAUCHERY                                         #115                               The Hives                                                                 I'm Alive
246  246                         AMERICAN DEBAUCHERY                                         #115                              Jack White                                                  Archbishop Harold Holmes
247  247                         AMERICAN DEBAUCHERY                                         #115                                Titanics                                                             High On Drugs
248  248                         AMERICAN DEBAUCHERY                                         #115                              Black Flag                                                                Slip It In
249  249                         AMERICAN DEBAUCHERY                                         #115                           Linda Linda's                                                             No Obligation
250  250                         AMERICAN DEBAUCHERY                                         #115                                   AC/DC                                                       Kicked In The Teeth
251  251                         AMERICAN DEBAUCHERY                                         #115                            Guns & Roses                                                                   Perhaps
252  252                         AMERICAN DEBAUCHERY                                         #115                        Memphis May Fire                                                                 Infection
253  253                         AMERICAN DEBAUCHERY                                         #115                             Tom Morello                                               Soldier In The Army Of Love
254  254                         AMERICAN DEBAUCHERY                                         #115                  The Jesus & Mary Chain                                             Reverence (Al Jourgansen Mix)
